rec_id,signal,N. of measurements,eta,direct_method,p,maxiter_stage,MSE,SNR [dB]
a_0,0,60,16,True,0.1,10,3.0921650228925066e-29,263.49638262897196
a_1,0,60,16,True,0.2,10,2.1843877522243198e-29,265.0057119342379
a_2,0,60,16,True,0.3,10,4.335202461556722e-28,252.02891541622407
a_3,0,60,16,True,0.4,10,1.0143591635731063e-26,238.3370916931183
a_4,0,60,16,True,0.5,10,2.5261514455805505e-25,224.37441542785055
a_5,0,60,16,True,0.6,10,7.050345841384703e-24,209.91690505204903
a_6,0,60,16,True,0.7,10,0.0002009179585053312,15.05671628742162
a_7,0,60,16,True,0.8,10,0.00018176845784497231,15.54592262587371
a_8,0,60,16,True,0.9,10,0.0003095064950229011,13.119928949679727
a_9,0,60,16,True,1,10,0.0003854313233463648,12.116203836814496
a_10,1,60,16,True,0.1,10,7.287759152904274e-29,268.44451121890677
a_11,1,60,16,True,0.2,10,1.3820926502173719e-28,265.6650797599648
a_12,1,60,16,True,0.3,10,2.057524422982138e-28,263.93700134429656
a_13,1,60,16,True,0.4,10,5.955620346648348e-27,249.32118128493843
a_14,1,60,16,True,0.5,10,1.876697958324078e-25,234.33650751930236
a_15,1,60,16,True,0.6,10,6.429604945486107e-24,218.9886084408451
a_16,1,60,16,True,0.7,10,6.211116335658897e-05,29.062052574594986
a_17,1,60,16,True,0.8,10,0.00013095953941554233,25.791547975362352
a_18,1,60,16,True,0.9,10,0.00015796231128086105,24.957325985451476
a_19,1,60,16,True,1,10,0.0001772819261387313,24.44948271384807
a_20,10,60,16,True,0.1,10,5.656063578434486e-29,263.8844085425884
a_21,10,60,16,True,0.2,10,2.9514913152504004e-29,266.7091362722415
a_22,10,60,16,True,0.3,10,2.5482996759613832e-28,257.347046378715
a_23,10,60,16,True,0.4,10,7.10104373559465e-27,242.89632949380564
a_24,10,60,16,True,0.5,10,1.9917318540139986e-25,228.41724267725118
a_25,10,60,16,True,0.6,10,6.087661529729418e-24,213.56504638941902
a_26,10,60,16,True,0.7,10,2.62003187102085e-22,197.22648562559846
a_27,10,60,16,True,0.8,10,5.1145267084042024e-20,174.32149685328022
a_28,10,60,16,True,0.9,10,3.745258104467299e-17,145.67473366679732
a_29,10,60,16,True,1,10,9.979330115925801e-06,31.307357071451875
a_30,11,60,16,True,0.1,10,1.3370624343010704e-25,234.77352895020158
a_31,11,60,16,True,0.2,10,1.959087578213797e-28,263.1145073124803
a_32,11,60,16,True,0.3,10,6.660706575273722e-29,267.7998428012857
a_33,11,60,16,True,0.4,10,2.2212502490310215e-27,252.56907092688166
a_34,11,60,16,True,0.5,10,7.392636780513735e-26,237.34705213487894
a_35,11,60,16,True,0.6,10,2.5564406051368866e-24,221.95868875156833
a_36,11,60,16,True,0.7,10,1.0945014550901243e-22,205.6428823889849
a_37,11,60,16,True,0.8,10,3.6671539539038125e-20,180.3917543908691
a_38,11,60,16,True,0.9,10,2.2761966155500627e-16,142.4629478735033
a_39,11,60,16,True,1,10,1.875566034592165e-05,33.24651642098147
a_40,12,60,16,True,0.1,10,2.1734311779394517e-27,253.30138093209877
a_41,12,60,16,True,0.2,10,1.554162212031029e-27,254.7578764065005
a_42,12,60,16,True,0.3,10,1.328325790049002e-28,265.43979381195237
a_43,12,60,16,True,0.4,10,2.9265317045251895e-27,252.00930752550536
a_44,12,60,16,True,0.5,10,6.51048998558638e-26,238.5367031073863
a_45,12,60,16,True,0.6,10,1.5998818760407357e-24,224.63196067339453
a_46,12,60,16,True,0.7,10,5.2468019434975854e-23,209.4738931520468
a_47,12,60,16,True,0.8,10,9.62782196188091e-21,186.83755935255132
a_48,12,60,16,True,0.9,10,3.602916972956686e-17,151.1062973122961
a_49,12,60,16,True,1,10,1.4991604395568542e-12,104.91435539788712
a_50,13,60,16,True,0.1,10,2.2007699986347875e-24,215.70610151595307
a_51,13,60,16,True,0.2,10,9.855781545677368e-25,219.19493739874585
a_52,13,60,16,True,0.3,10,2.4661792005957803e-25,225.21160177969705
a_53,13,60,16,True,0.4,10,1.7697108659750332e-24,216.65282491173002
a_54,13,60,16,True,0.5,10,1.5372838611556514e-23,207.2643074077143
a_55,13,60,16,True,0.6,10,2.4421209073585984e-22,195.254176469459
a_56,13,60,16,True,0.7,10,4.303636036889491e-21,182.79349273205992
a_57,13,60,16,True,0.8,10,3.4095394644005603e-18,153.80489086275534
a_58,13,60,16,True,0.9,10,2.1473929916638223e-16,135.8127325857115
a_59,13,60,16,True,1,10,3.086034513240536e-05,24.151378040608474
a_60,14,60,16,True,0.1,10,2.7943286604472336e-27,247.00422696964364
a_61,14,60,16,True,0.2,10,1.6908453528351084e-28,259.18596293932194
a_62,14,60,16,True,0.3,10,1.3096030745417356e-27,250.2956049615022
a_63,14,60,16,True,0.4,10,2.278991763863511e-26,237.88957426474389
a_64,14,60,16,True,0.5,10,4.14230071693564e-25,225.29458558140408
a_65,14,60,16,True,0.6,10,8.273044605697008e-24,212.29034816227554
a_66,14,60,16,True,0.7,10,2.240446608915687e-22,197.963655832413
a_67,14,60,16,True,0.8,10,5.036727079803198e-20,174.44551763171341
a_68,14,60,16,True,0.9,10,1.619501943450983e-17,149.3731870533016
a_69,14,60,16,True,1,10,7.566282047032522e-12,92.67815493323717
a_70,15,60,16,True,0.1,10,2.550603570362653e-30,279.8514627989511
a_71,15,60,16,True,0.2,10,1.0389789855968155e-29,273.7518247957656
a_72,15,60,16,True,0.3,10,6.862700827934983e-29,265.5529417647416
a_73,15,60,16,True,0.4,10,2.273962227692459e-27,250.35005996738914
a_74,15,60,16,True,0.5,10,7.492165069116091e-26,235.17181905890922
a_75,15,60,16,True,0.6,10,2.6193915262507185e-24,219.73588824939785
a_76,15,60,16,True,0.7,10,1.1314703373162626e-22,203.38146070211587
a_77,15,60,16,True,0.8,10,3.6527804243849145e-20,178.29165676256505
a_78,15,60,16,True,0.9,10,5.2860208053688537e-17,146.68660367028437
a_79,15,60,16,True,1,10,0.00015045647293787916,22.04862909603754
a_80,16,60,16,True,0.1,10,9.892570794836753e-30,270.75642148728343
a_81,16,60,16,True,0.2,10,1.839460906728178e-29,268.0626075325558
a_82,16,60,16,True,0.3,10,1.1083662165122683e-28,260.26268035820976
a_83,16,60,16,True,0.4,10,3.1809492061059124e-27,245.68394581366277
a_84,16,60,16,True,0.5,10,9.531326450740133e-26,230.91797971131052
a_85,16,60,16,True,0.6,10,3.0249254789465928e-24,215.9023663565868
a_86,16,60,16,True,0.7,10,1.1795878884887774e-22,199.9922101088616
a_87,16,60,16,True,0.8,10,3.212562039662596e-20,175.64099792151825
a_88,16,60,16,True,0.9,10,1.1729626891030214e-16,140.01667108903763
a_89,16,60,16,True,1,10,7.823151536500697e-08,51.77339464605278
a_90,17,60,16,True,0.1,10,6.274633988590076e-29,262.69214402494777
a_91,17,60,16,True,0.2,10,6.566921551234332e-05,22.42135276632198
a_92,17,60,16,True,0.3,10,0.000116451337858949,19.8818261972431
a_93,17,60,16,True,0.4,10,0.00013367405257878868,19.247610805260713
a_94,17,60,16,True,0.5,10,0.00013004814139581467,19.373257739873853
a_95,17,60,16,True,0.6,10,0.00013644423144344405,19.160519786193532
a_96,17,60,16,True,0.7,10,0.00014473832331431103,18.89317156161606
a_97,17,60,16,True,0.8,10,0.00018007896036115992,17.955049607648395
a_98,17,60,16,True,0.9,10,0.00020493778149419497,17.422981317201344
a_99,17,60,16,True,1,10,0.00020748788761103536,17.375762133750776
a_100,18,60,16,True,0.1,10,8.10106474417607e-27,242.60328491100438
a_101,18,60,16,True,0.2,10,1.9680391763279236e-26,238.74836854826427
a_102,18,60,16,True,0.3,10,7.500996256420893e-29,262.93751645476914
a_103,18,60,16,True,0.4,10,2.878324993488613e-27,247.09730765360052
a_104,18,60,16,True,0.5,10,9.513521265512279e-26,231.9052930090052
a_105,18,60,16,True,0.6,10,3.371997541512397e-24,216.40983344876315
a_106,18,60,16,True,0.7,10,1.5178259517831532e-22,199.87648620050962
a_107,18,60,16,True,0.8,10,9.102771896252137e-20,172.09696933644688
a_108,18,60,16,True,0.9,10,2.2961141874957382e-05,28.002407729230686
a_109,18,60,16,True,1,10,0.00025299421551115985,17.44429529334488
a_110,19,60,16,True,0.1,10,6.744783479577868e-29,268.0508106038841
a_111,19,60,16,True,0.2,10,4.557416788981947e-29,269.7533032504985
a_112,19,60,16,True,0.3,10,2.8380758124454407e-28,261.8102508051779
a_113,19,60,16,True,0.4,10,6.0974481220711434e-27,248.4890095897419
a_114,19,60,16,True,0.5,10,1.3184008017720025e-25,235.14001614473486
a_115,19,60,16,True,0.6,10,3.0179995145858254e-24,221.54329907350373
a_116,19,60,16,True,0.7,10,8.774235914424824e-23,206.90839765757818
a_117,19,60,16,True,0.8,10,1.3698569522358677e-20,184.97373854702928
