rec_id,signal,N. of measurements,eta,direct_method,p,maxiter_stage,MSE,SNR [dB]
c_0,0,60,16,False,0.1,10,5.926185899758894e-19,160.67125655460953
c_1,0,60,16,False,0.2,10,5.923972559979729e-19,160.67287888361957
c_2,0,60,16,False,0.3,10,5.682819685019333e-19,160.85337050326572
c_3,0,60,16,False,0.4,10,9.558580833913862e-19,158.59507509782384
c_4,0,60,16,False,0.5,10,8.783353951765883e-19,158.96240541689156
c_5,0,60,16,False,0.6,10,1.0720854107089815e-18,158.09671539806328
c_6,0,60,16,False,0.7,10,0.00020216844432484145,15.029424816691428
c_7,0,60,16,False,0.8,10,0.00017654403176053165,15.681072445918838
c_8,0,60,16,False,0.9,10,0.00030943935257022313,13.120928772685414
c_9,0,60,16,False,1,10,0.00038543125564854296,12.116204590843074
c_10,1,60,16,False,0.1,10,8.911102321626767e-18,157.5711370437453
c_11,1,60,16,False,0.2,10,6.107495461095535e-18,159.21181979568382
c_12,1,60,16,False,0.3,10,7.466982687494832e-18,158.33899990961612
c_13,1,60,16,False,0.4,10,5.50763458006019e-18,159.6608001344432
c_14,1,60,16,False,0.5,10,6.096598798733627e-18,159.21957519566598
c_15,1,60,16,False,0.6,10,8.980556658003885e-18,157.53741875819026
c_16,1,60,16,False,0.7,10,6.528570890642909e-05,28.845379036523525
c_17,1,60,16,False,0.8,10,0.00013083834934969924,25.79627769064141
c_18,1,60,16,False,0.9,10,0.00015793028358837045,24.95820322408289
c_19,1,60,16,False,1,10,0.00017728249918086373,24.449467928591552
c_20,10,60,16,False,0.1,10,1.784534880707316e-18,158.89430094305277
c_21,10,60,16,False,0.2,10,4.1065303113952223e-19,165.2748010336327
c_22,10,60,16,False,0.3,10,1.7639696638248314e-18,158.94464025063633
c_23,10,60,16,False,0.4,10,9.151988410925049e-19,161.7943967520679
c_24,10,60,16,False,0.5,10,2.2590184208571602e-18,157.8703536704466
c_25,10,60,16,False,0.6,10,2.0558646081400115e-18,158.27960628412444
c_26,10,60,16,False,0.7,10,1.453994567005422e-18,159.78392353828144
c_27,10,60,16,False,0.8,10,1.0404540980299446e-18,161.23732209588908
c_28,10,60,16,False,0.9,10,3.811417986701012e-17,145.59868540672295
c_29,10,60,16,False,1,10,9.979206023212664e-06,31.307411886314625
c_30,11,60,16,False,0.1,10,2.257320794037465e-18,162.49911298227096
c_31,11,60,16,False,0.2,10,3.0688948041032045e-18,161.16522578691885
c_32,11,60,16,False,0.3,10,3.6856795897529056e-18,160.369870040492
c_33,11,60,16,False,0.4,10,2.5906069070278805e-18,161.90103062172395
c_34,11,60,16,False,0.5,10,2.711536280462827e-18,161.70289162165258
c_35,11,60,16,False,0.6,10,2.0278038917593133e-18,162.96478630522242
c_36,11,60,16,False,0.7,10,3.192901465596739e-18,160.9931906808278
c_37,11,60,16,False,0.8,10,3.879663941171872e-18,160.14710474400994
c_38,11,60,16,False,0.9,10,2.9251884966077184e-16,141.373507005721
c_39,11,60,16,False,1,10,1.8755920280824154e-05,33.24645703915912
c_40,12,60,16,False,0.1,10,7.587816319620701e-18,157.8716717740823
c_41,12,60,16,False,0.2,10,7.458458348349332e-18,157.94634918182535
