rec_id,phantom,Algorithm,ideal_measurements,N. angles,p,SSIM,MSE,PSNR [dB],SNR [dB]
fbp_0,1-s20-S0929664620300449-gr3_lrg-c,fbp,,120,,0.7380818332425713,0.005205651351626964,22.83524922115174,18.4867620109786
fbp_1,1-s20-S0929664620300449-gr3_lrg-c,fbp,,130,,0.7536339200560037,0.004589318040942519,23.382518445410675,19.034031235237535
fbp_2,1-s20-S0929664620300449-gr3_lrg-c,fbp,,140,,0.7741999579571809,0.004040887742717757,23.935232142431744,19.586744932258604
fbp_3,1-s20-S0929664620300449-gr3_lrg-c,fbp,,150,,0.7893397321336756,0.0036108103332595015,24.423953233655126,20.075466023481987
fbp_4,1-s20-S0929664620300449-gr3_lrg-c,fbp,,160,,0.8042605597454813,0.003285155799421759,24.834440290799495,20.485953080626356
fbp_5,1-s20-S0929664620300449-gr3_lrg-c,fbp,,170,,0.8177152051682692,0.0030075869582044438,25.21781807072944,20.8693308605563
fbp_6,1-s20-S0929664620300449-gr3_lrg-c,fbp,,180,,0.8280886470031755,0.0027899486078692007,25.54403796555931,21.19555075538617
fbp_7,1-s20-S0929664620300449-gr3_lrg-c,fbp,,190,,0.8356023291218315,0.002622051032597685,25.81358859953375,21.465101389360612
fbp_8,1-s20-S0929664620300449-gr3_lrg-c,fbp,,200,,0.8443324624940014,0.00247278962162596,26.068128306882144,21.719641096709005
fbp_9,1-s20-S0929664620300449-gr3_lrg-c,fbp,,210,,0.8464533653036466,0.002405514684270883,26.187919876375965,21.839432666202825
fbp_10,1-s20-S0929664620300449-gr3_lrg-c,fbp,,220,,0.8530977395501042,0.002304805933918749,26.373656365981525,22.025169155808385
mi#1_11,1-s20-S0929664620300449-gr3_lrg-c,mi,False,120,,0.7337135824943299,0.003782528606338798,24.222177788293997,19.873690578120858
mi#1_12,1-s20-S0929664620300449-gr3_lrg-c,mi,False,130,,0.7509932298311537,0.003470451670656769,24.596139991835997,20.247652781662858
mi#1_13,1-s20-S0929664620300449-gr3_lrg-c,mi,False,140,,0.776208158226493,0.0031221488019830563,25.05546402253703,20.70697681236389
mi#1_14,1-s20-S0929664620300449-gr3_lrg-c,mi,False,150,,0.7925751763244111,0.002837508578111169,25.470628168752214,21.122140958579067
mi#1_15,1-s20-S0929664620300449-gr3_lrg-c,mi,False,160,,0.8114567627178794,0.0025620934482032016,25.914050341155846,21.565563130982703
mi#1_16,1-s20-S0929664620300449-gr3_lrg-c,mi,False,170,,0.8265230455283362,0.002358282464915121,26.274041782031617,21.925554571858477
mi#1_17,1-s20-S0929664620300449-gr3_lrg-c,mi,False,180,,0.838608682662288,0.0021875478029606036,26.600424478667122,22.251937268493982
mi#1_18,1-s20-S0929664620300449-gr3_lrg-c,mi,False,190,,0.8497349083696867,0.00202356996591528,26.938817750699833,22.590330540526693
mi#1_19,1-s20-S0929664620300449-gr3_lrg-c,mi,False,200,,0.8599047600954987,0.001897176002687,27.21892377361158,22.870436563438435
mi#1_20,1-s20-S0929664620300449-gr3_lrg-c,mi,False,210,,0.8667883157442904,0.0018025529649581171,27.441119654151365,23.09263244397822
mi#1_21,1-s20-S0929664620300449-gr3_lrg-c,mi,False,220,,0.8751412108307784,0.001689525398688916,27.72235275077287,23.37386554059973
mi#2_22,1-s20-S0929664620300449-gr3_lrg-c,mi,True,120,,0.8474709487392643,0.002077094226730672,26.825438013845186,22.476950803672043
mi#2_23,1-s20-S0929664620300449-gr3_lrg-c,mi,True,130,,0.8683947466815357,0.0017478365378203681,27.574991861421925,23.226504651248785
mi#2_24,1-s20-S0929664620300449-gr3_lrg-c,mi,True,140,,0.892896248150638,0.0014195876648572532,28.4783778299851,24.12989061981196
mi#2_25,1-s20-S0929664620300449-gr3_lrg-c,mi,True,150,,0.9120542843648746,0.00114468978609585,29.413121923113728,25.064634712940588
mi#2_26,1-s20-S0929664620300449-gr3_lrg-c,mi,True,160,,0.9266084037549244,0.0009390880900083988,30.272936673609642,25.924449463436503
mi#2_27,1-s20-S0929664620300449-gr3_lrg-c,mi,True,170,,0.9410393338875395,0.0007465944857237353,31.269152220558396,26.920665010385257
mi#2_28,1-s20-S0929664620300449-gr3_lrg-c,mi,True,180,,0.9514268025412411,0.0006106597299388457,32.14200718684325,27.793519976670105
mi#2_29,1-s20-S0929664620300449-gr3_lrg-c,mi,True,190,,0.9614782119867641,0.0004760325056906192,33.22363390640711,28.875146696233962
mi#2_30,1-s20-S0929664620300449-gr3_lrg-c,mi,True,200,,0.9688859660433075,0.00037814042909085286,34.223468873229606,29.87498166305647
mi#2_31,1-s20-S0929664620300449-gr3_lrg-c,mi,True,210,,0.976505183545435,0.0002861446145829979,35.434144233669706,31.085657023496566
mi#2_32,1-s20-S0929664620300449-gr3_lrg-c,mi,True,220,,0.9815854065644725,0.0002192983617161002,36.58964612737959,32.24115891720645
irls_drs#1_33,1-s20-S0929664620300449-gr3_lrg-c,irls_drs,False,120,0.1,0.6684556759446807,0.004976256379616813,23.03097252637064,18.6824853161975
irls_drs#1_34,1-s20-S0929664620300449-gr3_lrg-c,irls_drs,False,120,0.2,0.6706315979519961,0.004944618104686742,23.05867245306825,18.71018524289511
irls_drs#1_35,1-s20-S0929664620300449-gr3_lrg-c,irls_drs,False,120,0.3,0.6730819909094272,0.004901588629471803,23.096631401355808,18.748144191182668
irls_drs#1_36,1-s20-S0929664620300449-gr3_lrg-c,irls_drs,False,120,0.4,0.6749760994468518,0.004855101766443033,23.138016625342562,18.78952941516942
irls_drs#1_37,1-s20-S0929664620300449-gr3_lrg-c,irls_drs,False,120,0.5,0.6770138086103886,0.004803357122530821,23.18455123005268,18.836064019879537
irls_drs#1_38,1-s20-S0929664620300449-gr3_lrg-c,irls_drs,False,120,0.6,0.6798762811268607,0.004738733385004676,23.243377252905812,18.89489004273267
irls_drs#1_39,1-s20-S0929664620300449-gr3_lrg-c,irls_drs,False,120,0.7,0.6844793205631756,0.004652100408610532,23.32350920247353,18.975021992300388
irls_drs#1_40,1-s20-S0929664620300449-gr3_lrg-c,irls_drs,False,120,0.8,0.6907925599330214,0.004520188791120027,23.44843425978571,19.09994704961257
irls_drs#1_41,1-s20-S0929664620300449-gr3_lrg-c,irls_drs,False,120,0.9,0.6999558536143723,0.004353924310839556,23.611191250584614,19.26270404041147
irls_drs#1_42,1-s20-S0929664620300449-gr3_lrg-c,irls_drs,False,120,1,0.7106151856527014,0.004165357118382495,23.80347758268197,19.454990372508828
irls_drs#1_43,1-s20-S0929664620300449-gr3_lrg-c,irls_drs,False,130,0.1,0.6943029306388538,0.004476625281582641,23.490492569571355,19.142005359398215
