rec_id,phantom,Algorithm,ideal_measurements,N. angles,p,SSIM,MSE,PSNR [dB],SNR [dB]
fbp_0,000308150214_all_slices_5,fbp,,120,,0.8655696782197952,0.00031230235,35.0542474932236,20.65774440765381
fbp_1,000308150214_all_slices_5,fbp,,130,,0.8895091350860596,0.00026208008,35.815659863993666,21.41915798187256
fbp_2,000308150214_all_slices_5,fbp,,140,,0.9074521429834366,0.00022971396,36.38812614973711,21.99162483215332
fbp_3,000308150214_all_slices_5,fbp,,150,,0.9228752241883278,0.00020451772,36.89269048291165,22.496187686920166
fbp_4,000308150214_all_slices_5,fbp,,160,,0.9357723742647172,0.00018409971,37.349468866320215,22.952966690063477
fbp_5,000308150214_all_slices_5,fbp,,170,,0.9458513412923812,0.0001683803,37.73708725119605,23.340585231781006
fbp_6,000308150214_all_slices_5,fbp,,180,,0.954108670783043,0.0001568694,38.04461767933124,23.64811658859253
fbp_7,000308150214_all_slices_5,fbp,,190,,0.9609809690485,0.00014766933,38.30709699328105,23.91059398651123
fbp_8,000308150214_all_slices_5,fbp,,200,,0.966830696316719,0.0001398465,38.543484121450945,24.146981239318848
fbp_9,000308150214_all_slices_5,fbp,,210,,0.971124509223938,0.00013388242,38.73276438882906,24.336261749267578
fbp_10,000308150214_all_slices_5,fbp,,220,,0.9742984817209244,0.00013018666,38.85433522323476,24.457833766937256
mi#2_22,000308150214_all_slices_5,mi,True,120,,0.939874357714653,0.00012538389139018572,39.0175825560841,24.62108029555019
mi#2_23,000308150214_all_slices_5,mi,True,130,,0.9548143962869644,8.948475237195534e-05,40.48250959375258,26.086007333218667
mi#2_24,000308150214_all_slices_5,mi,True,140,,0.9643894371824264,6.824200933111147e-05,41.6594819420034,27.26297968146949
mi#2_25,000308150214_all_slices_5,mi,True,150,,0.9741798546495437,4.7263472009359805e-05,43.25474377940215,28.85824151886824
mi#2_26,000308150214_all_slices_5,mi,True,160,,0.9804204182872772,3.4839758968962815e-05,44.57924858222684,30.18274632169293
mi#2_27,000308150214_all_slices_5,mi,True,170,,0.9852828714532852,2.5241516609248287e-05,45.97884554529328,31.582343284759368
mi#2_28,000308150214_all_slices_5,mi,True,180,,0.9893001116952896,1.816099701946851e-05,47.408603128541586,33.01210086800767
mi#2_29,000308150214_all_slices_5,mi,True,190,,0.9932205677757263,1.1290043202682973e-05,49.473043961927544,35.07654170139363
mi#2_30,000308150214_all_slices_5,mi,True,200,,0.9945943669710159,9.01748595498574e-06,50.44914525436208,36.052642993828165
mi#2_31,000308150214_all_slices_5,mi,True,210,,0.9968247661933899,5.24751491106681e-06,52.80046318675084,38.403960926216925
mi#2_32,000308150214_all_slices_5,mi,True,220,,0.9977950718297959,3.637247314465872e-06,54.3922716810774,39.99576942054349
irls_drs#2_143,000308150214_all_slices_5,irls_drs,True,120,0.1,0.9252666660766602,0.00018660034898921397,37.29087548349711,22.894373222963203
irls_drs#2_144,000308150214_all_slices_5,irls_drs,True,120,0.2,0.9263754845228195,0.00018317299024579143,37.371385647948316,22.9748833874144
irls_drs#2_145,000308150214_all_slices_5,irls_drs,True,120,0.3,0.9282816130495072,0.00017817099777622735,37.491629879019726,23.09512761848581
irls_drs#2_146,000308150214_all_slices_5,irls_drs,True,120,0.4,0.9312069884433747,0.0001699275033686603,37.697363233407486,23.300860972873572
irls_drs#2_147,000308150214_all_slices_5,irls_drs,True,120,0.5,0.9342424577035904,0.00016163480995548145,37.91465103069049,23.518148770156586
irls_drs#2_148,000308150214_all_slices_5,irls_drs,True,120,0.6,0.9374079389715194,0.00015353678832437045,38.137875481865876,23.741373221331973
irls_drs#2_149,000308150214_all_slices_5,irls_drs,True,120,0.7,0.9410474361143112,0.0001423063682922846,38.46775664551599,24.071254384982083
irls_drs#2_150,000308150214_all_slices_5,irls_drs,True,120,0.8,0.9458840422801972,0.0001282201091361745,38.920438577968646,24.523936317434742
irls_drs#2_151,000308150214_all_slices_5,irls_drs,True,120,0.9,0.9511230000696183,0.00011421297640761384,39.42284550537949,25.026343244845584
irls_drs#2_152,000308150214_all_slices_5,irls_drs,True,120,1,0.9573598223190307,9.754849157292968e-05,40.107794418678026,25.71129215814412
irls_drs#2_153,000308150214_all_slices_5,irls_drs,True,130,0.1,0.939845299756527,0.000146106959830512,38.35329095879572,23.95678869826181
irls_drs#2_154,000308150214_all_slices_5,irls_drs,True,130,0.2,0.9410392820305824,0.0001430603529682804,38.44480707769239,24.048304817158478
irls_drs#2_155,000308150214_all_slices_5,irls_drs,True,130,0.3,0.9435483096270562,0.00013682664543244146,38.638293204708006,24.2417909441741
irls_drs#2_156,000308150214_all_slices_5,irls_drs,True,130,0.4,0.9457340972127914,0.00013029123369158086,38.850848036845576,24.45434577631167
irls_drs#2_157,000308150214_all_slices_5,irls_drs,True,130,0.5,0.9486515756473541,0.00012188828662110053,39.14038027771642,24.74387801718251
irls_drs#2_158,000308150214_all_slices_5,irls_drs,True,130,0.6,0.952721364443779,0.00011168746372322424,39.51995571211779,25.123453451583877
irls_drs#2_159,000308150214_all_slices_5,irls_drs,True,130,0.7,0.9569053800144196,0.00010024974048912355,39.989167429400744,25.592665168866837
irls_drs#2_160,000308150214_all_slices_5,irls_drs,True,130,0.8,0.9610796264276504,8.911715098246107e-05,40.50038706061435,26.103884800080444
irls_drs#2_161,000308150214_all_slices_5,irls_drs,True,130,0.9,0.9659731582593918,7.691506748090433e-05,41.13988574596215,26.74338348542824
irls_drs#2_162,000308150214_all_slices_5,irls_drs,True,130,1,0.9694080750169755,6.777241135725264e-05,41.68947061792201,27.292968357388105
irls_drs#2_163,000308150214_all_slices_5,irls_drs,True,140,0.1,0.952098409655571,0.0001155142210468219,39.3736454614437,24.977143200909794
irls_drs#2_164,000308150214_all_slices_5,irls_drs,True,140,0.2,0.9534659611034393,0.00011221182073072931,39.499613907828895,25.10311164729499
irls_drs#2_165,000308150214_all_slices_5,irls_drs,True,140,0.3,0.9551506416950226,0.00010816470079695739,39.65914446718485,25.262642206650945
irls_drs#2_166,000308150214_all_slices_5,irls_drs,True,140,0.4,0.9573648072633744,0.00010205558053051237,39.911632425173,25.515130164639093
irls_drs#2_167,000308150214_all_slices_5,irls_drs,True,140,0.5,0.9597404884748458,9.560189482485063e-05,40.195334999433385,25.798832738899474
irls_drs#2_168,000308150214_all_slices_5,irls_drs,True,140,0.6,0.9622969698076248,8.804859694746502e-05,40.55277560114974,26.156273340615826
irls_drs#2_169,000308150214_all_slices_5,irls_drs,True,140,0.7,0.9669062378196717,7.631834738800021e-05,41.17371042497397,26.77720816444006
irls_drs#2_170,000308150214_all_slices_5,irls_drs,True,140,0.8,0.9715516393175125,6.387415742635406e-05,41.94674815663469,27.550245896100787
irls_drs#2_171,000308150214_all_slices_5,irls_drs,True,140,0.9,0.9752294862298966,5.4948223284898596e-05,42.60046345643388,28.203961195899968
irls_drs#2_172,000308150214_all_slices_5,irls_drs,True,140,1,0.9775959435319901,4.905692247588629e-05,43.09299700191253,28.696494741378622
irls_drs#2_173,000308150214_all_slices_5,irls_drs,True,150,0.1,0.963743313364029,8.504002236982669e-05,40.70376634243332,26.30726408189941
irls_drs#2_174,000308150214_all_slices_5,irls_drs,True,150,0.2,0.9645971569337844,8.196819763629954e-05,40.86354614324327,26.467043882709355
irls_drs#2_175,000308150214_all_slices_5,irls_drs,True,150,0.3,0.9658016984920502,7.903125364868605e-05,41.022011289251516,26.62550902871761
irls_drs#2_176,000308150214_all_slices_5,irls_drs,True,150,0.4,0.9684100107736587,7.26629807072583e-05,41.386867909191736,26.99036564865782
irls_drs#2_177,000308150214_all_slices_5,irls_drs,True,150,0.5,0.970334645321846,6.805147145110635e-05,41.671624797745785,27.275122537211875
irls_drs#2_178,000308150214_all_slices_5,irls_drs,True,150,0.6,0.9723780309143066,6.275526043217609e-05,42.02349863776614,27.626996377232224
irls_drs#2_179,000308150214_all_slices_5,irls_drs,True,150,0.7,0.9750945714569091,5.624204870273795e-05,42.4993886785863,28.102886418052385
irls_drs#2_180,000308150214_all_slices_5,irls_drs,True,150,0.8,0.9786903116130828,4.6631694817628964e-05,43.31318799931136,28.916685738777453
irls_drs#2_181,000308150214_all_slices_5,irls_drs,True,150,0.9,0.9813199976253509,3.99721286477016e-05,43.98242723510347,29.58592497456957
irls_drs#2_182,000308150214_all_slices_5,irls_drs,True,150,1,0.9839662103433608,3.349429754150713e-05,44.750291260098045,30.353788999564138
irls_drs#2_183,000308150214_all_slices_5,irls_drs,True,160,0.1,0.9712086739931106,6.740574776181865e-05,41.71303069120313,27.31652843066922
irls_drs#2_184,000308150214_all_slices_5,irls_drs,True,160,0.2,0.9727403069524765,6.285681397690123e-05,42.016476358433756,27.619974097899846
irls_drs#2_185,000308150214_all_slices_5,irls_drs,True,160,0.3,0.9740605168151856,5.9269953160338544e-05,42.27165415973645,27.875151899202542
irls_drs#2_186,000308150214_all_slices_5,irls_drs,True,160,0.4,0.975278335600853,5.660042726982635e-05,42.4718029036248,28.07530064309089
irls_drs#2_187,000308150214_all_slices_5,irls_drs,True,160,0.5,0.9773290008039475,5.137924573475928e-05,42.89212275617287,28.49562049563895
irls_drs#2_188,000308150214_all_slices_5,irls_drs,True,160,0.6,0.9792413293533325,4.696638130072651e-05,43.28212900358985,28.885626743055944
irls_drs#2_189,000308150214_all_slices_5,irls_drs,True,160,0.7,0.9828880037136077,3.739995104388601e-05,44.27128966285725,29.874787402323342
irls_drs#2_190,000308150214_all_slices_5,irls_drs,True,160,0.8,0.9854367351665497,3.1216409263159014e-05,45.0561705408851,30.659668280351188
irls_drs#2_191,000308150214_all_slices_5,irls_drs,True,160,0.9,0.9871266445446014,2.7276773962165994e-05,45.642069952060986,31.245567691527075
irls_drs#2_192,000308150214_all_slices_5,irls_drs,True,160,1,0.9886185389671326,2.3764909959301003e-05,46.24063826824842,31.844136007714514
irls_drs#2_193,000308150214_all_slices_5,irls_drs,True,170,0.1,0.9792354804220199,4.8136696322537615e-05,43.175237191736954,28.778734931203047
irls_drs#2_194,000308150214_all_slices_5,irls_drs,True,170,0.2,0.9806049314985276,4.5482540700106565e-05,43.42155283183577,29.025050571301854
irls_drs#2_195,000308150214_all_slices_5,irls_drs,True,170,0.3,0.981515844209671,4.336104925227474e-05,43.6290021726857,29.232499912151795
irls_drs#2_196,000308150214_all_slices_5,irls_drs,True,170,0.4,0.9823529700889587,4.098449043148587e-05,43.87380460215511,29.477302341621204
irls_drs#2_197,000308150214_all_slices_5,irls_drs,True,170,0.5,0.9842465985498429,3.6242726402701515e-05,44.407791394413785,30.011289133879878
irls_drs#2_198,000308150214_all_slices_5,irls_drs,True,170,0.6,0.9858328570404052,3.253659642840757e-05,44.87627879477573,30.47977653424182
irls_drs#2_199,000308150214_all_slices_5,irls_drs,True,170,0.7,0.9878444358606339,2.7620642998901427e-05,45.58766215416174,31.191159893627834
irls_drs#2_200,000308150214_all_slices_5,irls_drs,True,170,0.8,0.9901482232198715,2.1248306469086268e-05,46.726756783402585,32.33025452286868
irls_drs#2_201,000308150214_all_slices_5,irls_drs,True,170,0.9,0.9911505119333267,1.8728434156942555e-05,47.27498531510335,32.87848305456944
irls_drs#2_202,000308150214_all_slices_5,irls_drs,True,170,1,0.9920031312780381,1.6452807214668922e-05,47.83759991098408,33.441097650450175
irls_drs#2_203,000308150214_all_slices_5,irls_drs,True,180,0.1,0.9850577606115342,3.391925962687582e-05,44.69553635880877,30.299034098274863
irls_drs#2_204,000308150214_all_slices_5,irls_drs,True,180,0.2,0.986086702325821,3.174975973468632e-05,44.98259556869478,30.586093308160866
irls_drs#2_205,000308150214_all_slices_5,irls_drs,True,180,0.3,0.9874461092882156,2.803188200349436e-05,45.52347743613438,31.12697517560047
irls_drs#2_206,000308150214_all_slices_5,irls_drs,True,180,0.4,0.9881467763719559,2.6422027584288896e-05,45.78033858376273,31.38383632322882
irls_drs#2_207,000308150214_all_slices_5,irls_drs,True,180,0.5,0.9892549170122147,2.38700166969779e-05,46.221472772059464,31.824970511525557
irls_drs#2_208,000308150214_all_slices_5,irls_drs,True,180,0.6,0.9903538665599823,2.144304723671804e-05,46.687134977080795,32.29063271654689
irls_drs#2_209,000308150214_all_slices_5,irls_drs,True,180,0.7,0.9912561596956253,1.92696563434645e-05,47.151260305167256,32.75475804463335
irls_drs#2_210,000308150214_all_slices_5,irls_drs,True,180,0.8,0.9927268651914597,1.5695032790409834e-05,48.042377726253484,33.64587546571958
irls_drs#2_211,000308150214_all_slices_5,irls_drs,True,180,0.9,0.9938138250341415,1.305073905063659e-05,48.84364893955956,34.44714667902565
irls_drs#2_212,000308150214_all_slices_5,irls_drs,True,180,1,0.9946307810325623,1.1050268618789666e-05,49.5662716467207,35.169769386186786
irls_drs#2_213,000308150214_all_slices_5,irls_drs,True,190,0.1,0.9900229634742737,2.1724067382889474e-05,46.63058858799144,32.23408632745753
irls_drs#2_214,000308150214_all_slices_5,irls_drs,True,190,0.2,0.9905387181768417,2.040567905403156e-05,46.90248948329484,32.505987222760936
irls_drs#2_215,000308150214_all_slices_5,irls_drs,True,190,0.3,0.9909522375688553,1.929063323271742e-05,47.14653516007687,32.75003289954297
irls_drs#2_216,000308150214_all_slices_5,irls_drs,True,190,0.4,0.9917034247465134,1.8061986609541723e-05,47.43234484027365,33.03584257973974
irls_drs#2_217,000308150214_all_slices_5,irls_drs,True,190,0.5,0.9929290305213928,1.512903653015315e-05,48.20188728484494,33.805385024311036
irls_drs#2_218,000308150214_all_slices_5,irls_drs,True,190,0.6,0.9937808996667862,1.300028672446884e-05,48.86047069117667,34.463968430642765
irls_drs#2_219,000308150214_all_slices_5,irls_drs,True,190,0.7,0.9949436557636261,1.0405889527758202e-05,49.827207890242306,35.43070562970839
irls_drs#2_220,000308150214_all_slices_5,irls_drs,True,190,0.8,0.9958121579828262,8.542735440625307e-06,50.684030430641315,36.28752817010741
irls_drs#2_221,000308150214_all_slices_5,irls_drs,True,190,0.9,0.9963919623308182,7.299590219104035e-06,51.367015194106514,36.970512933572614
irls_drs#2_222,000308150214_all_slices_5,irls_drs,True,190,1,0.9967897042922974,6.3766904646793725e-06,51.95404663888449,37.557544378350585
irls_drs#2_223,000308150214_all_slices_5,irls_drs,True,200,0.1,0.99345593754673,1.4061120921221166e-05,48.51980056948002,34.12329830894612
irls_drs#2_224,000308150214_all_slices_5,irls_drs,True,200,0.2,0.9936426511821747,1.3869113745345517e-05,48.579512900300614,34.1830106397667
irls_drs#2_225,000308150214_all_slices_5,irls_drs,True,200,0.3,0.9939255148906708,1.3367725885832886e-05,48.73942468522411,34.342922424690194
irls_drs#2_226,000308150214_all_slices_5,irls_drs,True,200,0.4,0.9945050638599395,1.1727820003038295e-05,49.307827081435256,34.911324820901356
irls_drs#2_227,000308150214_all_slices_5,irls_drs,True,200,0.5,0.9955124199686051,9.440708824748525e-06,50.249953968968356,35.85345170843445
irls_drs#2_228,000308150214_all_slices_5,irls_drs,True,200,0.6,0.9961161548051835,8.185342815010486e-06,50.86963126936267,36.47312900882876
irls_drs#2_229,000308150214_all_slices_5,irls_drs,True,200,0.7,0.9967422963676452,6.953252387204671e-06,51.57812006429002,37.18161780375611
irls_drs#2_230,000308150214_all_slices_5,irls_drs,True,200,0.8,0.9971192329683304,6.016438897171559e-06,52.206604896260096,37.81010263572619
irls_drs#2_231,000308150214_all_slices_5,irls_drs,True,200,0.9,0.9974015537395478,5.274141914477448e-06,52.77848188565099,38.38197962511708
irls_drs#2_232,000308150214_all_slices_5,irls_drs,True,200,1,0.9975796116867065,4.775422149330054e-06,53.20988230568025,38.81338004514634
irls_drs#2_233,000308150214_all_slices_5,irls_drs,True,210,0.1,0.9953423007297516,1.0682859739180754e-05,49.713124736466824,35.31662247593292
irls_drs#2_234,000308150214_all_slices_5,irls_drs,True,210,0.2,0.9956220414514542,1.014236277017385e-05,49.93860859744853,35.54210633691462
irls_drs#2_235,000308150214_all_slices_5,irls_drs,True,210,0.3,0.9960703806142807,9.367230993269251e-06,50.28388770058693,35.887385440053016
irls_drs#2_236,000308150214_all_slices_5,irls_drs,True,210,0.4,0.9966265179252625,7.97922886406156e-06,50.98039078106063,36.58388852052672
irls_drs#2_237,000308150214_all_slices_5,irls_drs,True,210,0.5,0.9971050574893952,6.8507245907850945e-06,51.64263491407268,37.24613265353877
irls_drs#2_238,000308150214_all_slices_5,irls_drs,True,210,0.6,0.9977639116516114,4.787591478104751e-06,53.19882914734745,38.802326886813546
irls_drs#2_239,000308150214_all_slices_5,irls_drs,True,210,0.7,0.9980966033782959,4.02237644960961e-06,53.95517286713541,39.5586706066015
irls_drs#2_240,000308150214_all_slices_5,irls_drs,True,210,0.8,0.9983832493495941,3.3879042063444197e-06,54.7006887792934,40.30418651875949
irls_drs#2_241,000308150214_all_slices_5,irls_drs,True,210,0.9,0.9986206498785019,2.81986049788958e-06,55.49772376253459,41.10122150200068
irls_drs#2_242,000308150214_all_slices_5,irls_drs,True,210,1,0.9986869205570221,2.6352047394485617e-06,55.79185637089581,41.39535411036191
irls_drs#2_243,000308150214_all_slices_5,irls_drs,True,220,0.1,0.997337028137207,5.7634098845538685e-06,52.39320492986769,37.99670266933378
irls_drs#2_244,000308150214_all_slices_5,irls_drs,True,220,0.2,0.9976391433124542,5.0842113265590885e-06,52.93776406180367,38.541261801269755
irls_drs#2_245,000308150214_all_slices_5,irls_drs,True,220,0.3,0.9979073938980103,4.5288039845711245e-06,53.44016476018602,39.043662499652115
irls_drs#2_246,000308150214_all_slices_5,irls_drs,True,220,0.4,0.9981813864879608,3.843395489694983e-06,54.15284923848225,39.75634697794833
irls_drs#2_247,000308150214_all_slices_5,irls_drs,True,220,0.5,0.9985161354484559,3.1354898967607314e-06,55.036945942788826,40.64044368225492
irls_drs#2_248,000308150214_all_slices_5,irls_drs,True,220,0.6,0.9986364387321472,2.8117200905226866e-06,55.510279159395864,41.113776898861964
irls_drs#2_249,000308150214_all_slices_5,irls_drs,True,220,0.7,0.9988215430164337,2.5223916049997634e-06,55.98187487672594,41.58537261619203
irls_drs#2_250,000308150214_all_slices_5,irls_drs,True,220,0.8,0.9989274935207367,2.2411254319912048e-06,56.49533836058787,42.09883610005396
irls_drs#2_251,000308150214_all_slices_5,irls_drs,True,220,0.9,0.9989693638763427,2.092229175289309e-06,56.79390746137325,42.397405200839344
irls_drs#2_252,000308150214_all_slices_5,irls_drs,True,220,1,0.9990510480871201,1.8465780185594756e-06,57.336323385334076,42.93982112480017
irls_cg#2_297,000308150214_all_slices_5,irls_cg,True,120,1,0.992086517736435,2.2691409921472634e-05,46.4413851856672,32.044882925133294
