rec_id,phantom,Algorithm,ideal_measurements,N. angles,p,SSIM,MSE,PSNR [dB],SNR [dB]
fbp_0,shepp_logan:256,fbp,,120,,0.6345630316442061,0.0020777038393470972,26.82416357695029,14.651730324744289
fbp_1,shepp_logan:256,fbp,,130,,0.6680933247616513,0.0019550882943202407,27.08833624523777,14.915902993031768
fbp_2,shepp_logan:256,fbp,,140,,0.6979492587647934,0.0018530733180423492,27.321073971995638,15.148640719789636
fbp_3,shepp_logan:256,fbp,,150,,0.7220189811582537,0.0017799670652073728,27.495880333826946,15.323447081620944
fbp_4,shepp_logan:256,fbp,,160,,0.7479541342006556,0.0017078672790651905,27.6754588201306,15.503025567924597
fbp_5,shepp_logan:256,fbp,,170,,0.7714723991186494,0.0016631315257937822,27.790734040169482,15.618300787963479
fbp_6,shepp_logan:256,fbp,,180,,0.7908849602521474,0.0016236274768287253,27.89513607678648,15.722702824580477
fbp_7,shepp_logan:256,fbp,,190,,0.8068919668593444,0.0015769121289269058,28.02192506408194,15.84949181187594
fbp_8,shepp_logan:256,fbp,,200,,0.8232236662296624,0.0015551985640901598,28.08214153400316,15.909708281797156
fbp_9,shepp_logan:256,fbp,,210,,0.8364232672480577,0.0015331180753483332,28.144243960278835,15.971810708072836
fbp_10,shepp_logan:256,fbp,,220,,0.8473870781938132,0.0015135735814436003,28.19996461236544,16.027531360159443
irls_drs#1_11,shepp_logan:256,irls_drs,False,120,0.1,0.6142893940577355,0.002292096786508437,26.397670477172742,14.22523722496674
irls_drs#1_12,shepp_logan:256,irls_drs,False,120,0.2,0.6164403753811294,0.002285067316812975,26.411010013316442,14.23857676111044
irls_drs#1_13,shepp_logan:256,irls_drs,False,120,0.3,0.620852888760598,0.0022623643365234443,26.454374539639723,14.281941287433721
irls_drs#1_14,shepp_logan:256,irls_drs,False,120,0.4,0.6234283731620524,0.002253067052424022,26.472258832586697,14.299825580380697
irls_drs#1_15,shepp_logan:256,irls_drs,False,120,0.5,0.6279124334409423,0.0022342098943201622,26.50876029222629,14.336327040020286
