rec_id,actual_img,zeros_pct_in_synthetic_image,Algorithm,ideal_measurements,N. angles,p,SSIM,MSE,PSNR [dB],SNR [dB]
0,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,160,0.1,0.9999940303715726,6.184982960769384e-08,72.08661492486603,65.91293542817237
1,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,160,0.2,0.9999940226672548,6.195080761047508e-08,72.07953027649715,65.90585077980349
2,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,160,0.3,0.9999941524097588,6.091019946866317e-08,72.15309978269094,65.97942028599729
3,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,160,0.4,0.9999942761767385,5.975474500222941e-08,72.23627602572903,66.06259652903537
4,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,160,0.5,0.9999942173474335,6.03029923317607e-08,72.19661136932349,66.02293187262984
5,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,160,0.6,0.9999942803562509,5.965292007343146e-08,72.24368292299786,66.0700034263042
6,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,160,0.7,0.9999725395846318,2.8703657762537653e-07,65.42062756754991,59.24694807085625
7,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,160,0.8,0.9999701894358682,3.087022538511331e-07,65.10460199699838,58.93092250030473
8,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,160,0.9,0.9999675506022536,3.358064994149135e-07,64.73910902501972,58.56542952832604
9,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,160,1.0,0.9999605473107942,4.009322536847868e-07,63.96929004777475,57.79561055108108
10,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,170,0.1,0.9999957654088724,4.3555658770329673e-08,73.60955413260746,67.4358746359138
11,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,170,0.2,0.9999958435202342,4.279588306261246e-08,73.68598007837002,67.51230058167637
12,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,170,0.3,0.9999959284850299,4.186503379681555e-08,73.78148553858182,67.60780604188815
13,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,170,0.4,0.999995999154371,4.119271255374402e-08,73.85179608666678,67.67811658997313
14,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,170,0.5,0.9999960785712455,4.048486846082827e-08,73.92707267449411,67.75339317780045
15,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,170,0.6,0.9999960880640429,4.0485951399651635e-08,73.92695650564315,67.75327700894948
16,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,170,0.7,0.9999961448254145,4.0055200779974535e-08,73.97341086985362,67.79973137315996
17,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,170,0.8,0.9999928045317936,7.134630081176027e-08,71.46628539419515,65.2926058975015
18,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,170,0.9,0.9999864243786973,1.375887413496556e-07,68.61417102217987,62.44049152548622
19,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,170,1.0,0.9999777281674903,2.2701219573586494e-07,66.43950810654835,60.26582860985468
20,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,180,0.1,0.9999967667550286,3.342260543002768e-08,74.75959698075799,68.58591748406434
21,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,180,0.2,0.9999967794127655,3.3373051668801826e-08,74.76604079161064,68.59236129491697
22,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,180,0.3,0.9999968614335312,3.2548899291921614e-08,74.87463693409994,68.70095743740627
23,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,180,0.4,0.9999967928313704,3.3209568227479935e-08,74.7873677082263,68.61368821153263
24,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,180,0.5,0.9999968571445668,3.253169176142516e-08,74.8769335130323,68.70325401633863
25,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,180,0.6,0.9999969141072573,3.181466821640201e-08,74.9737260150326,68.80004651833895
26,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,180,0.7,0.9999968900820437,3.2056404786086606e-08,74.94085186570683,68.76717236901315
27,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,180,0.8,0.9999968721987306,3.231013397452601e-08,74.90661241169087,68.7329329149972
28,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,180,0.9,0.9999967707504368,3.352063070530756e-08,74.74687818524521,68.57319868855156
29,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,180,1.0,0.9999887181227617,1.1636925681234532e-07,69.34161739275952,63.167937896065844
30,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,190,0.1,0.9999981932643226,1.866737956294177e-08,77.28916641945256,71.11548692275889
31,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,190,0.2,0.9999982269358659,1.8286028339340756e-08,77.37880611506229,71.20512661836864
32,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,190,0.3,0.9999982240258678,1.834068671250516e-08,77.36584407495425,71.19216457826059
33,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,190,0.4,0.9999982246843169,1.8246975269342243e-08,77.38809116561208,71.21441166891843
34,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,190,0.5,0.9999982783620236,1.7779641195649238e-08,77.50077007613383,71.32709057944018
35,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,190,0.6,0.9999983077927355,1.7426439319179724e-08,77.58791341633828,71.41423391964463
36,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,190,0.7,0.9999982770701614,1.779330892031024e-08,77.49743281134518,71.32375331465153
37,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,190,0.8,0.999998179203432,1.8903659648879054e-08,77.2345411056445,71.06086160895084
38,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,190,0.9,0.9999979999970678,2.089940273986238e-08,76.79866124917096,70.62498175247731
39,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,190,1.0,0.9999945777951014,5.465375362540057e-08,72.62380005300429,66.45012055631062
40,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,200,0.1,0.9999991544611212,8.92478949264223e-09,80.49402018718521,74.32034069049153
41,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,200,0.2,0.9999991702929654,8.72850750606889e-09,80.59060010279762,74.41692060610396
42,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,200,0.3,0.9999991619135207,8.891395986206392e-09,80.51030047633795,74.33662097964428
43,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,200,0.4,0.9999991400566204,9.074861544655282e-09,80.4215999228093,74.24792042611564
44,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,200,0.5,0.9999991256834323,9.177476049940126e-09,80.37276740181908,74.19908790512541
45,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,200,0.6,0.9999990605146669,9.83506869141162e-09,80.07222602476028,73.89854652806662
46,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,200,0.7,0.9999990029311648,1.0413707062830114e-08,79.82394643175188,73.65026693505823
47,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,200,0.8,0.9999989175835293,1.1273369676250978e-08,79.47946251383739,73.30578301714374
48,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,200,0.9,0.9999986976213167,1.3517257006994059e-08,78.69111428778056,72.5174347910869
49,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,200,1.0,0.9999982610066696,1.802322538864093e-08,77.44167486212541,71.26799536543174
50,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,210,0.1,0.999999628742848,3.918965595122267e-09,84.06828549207312,77.89460599537945
51,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,210,0.2,0.9999996323603352,3.903974323613439e-09,84.08493047344912,77.91125097675547
52,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,210,0.3,0.9999996161099907,4.104606740721584e-09,83.86728445978392,77.69360496309025
53,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,210,0.4,0.9999995569171582,4.722789143751581e-09,83.25801443741395,77.08433494072028
54,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,210,0.5,0.9999995612626571,4.6652586231921985e-09,83.31124275709129,77.13756326039763
55,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,210,0.6,0.9999995611863154,4.680017554125725e-09,83.29752517941765,77.123845682724
56,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,210,0.7,0.9999994843856427,5.467215355273453e-09,82.62233818779954,76.44865869110588
57,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,210,0.8,0.9999993634022881,6.729404800279475e-09,81.7202334638307,75.54655396713702
58,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,210,0.9,0.9999991604977345,8.823283437787915e-09,80.54369769340639,74.37001819671273
59,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,210,1.0,0.9999989340307601,1.1139285226328449e-08,79.5314267560938,73.35774725940013
60,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,220,0.1,0.9999999162152314,8.634798514587388e-10,90.63747791857239,84.46379842187874
61,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,220,0.2,0.9999999129325811,8.897789594596753e-10,90.50717868197549,84.33349918528181
62,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,220,0.3,0.9999999135044039,8.828839790355933e-10,90.54096363891526,84.36728414222159
63,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,220,0.4,0.9999999129093556,8.865769317283316e-10,90.52283573006716,84.34915623337348
64,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,220,0.5,0.9999998943758528,1.0834854544457177e-09,89.65176914613073,83.47808964943707
65,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,220,0.6,0.9999998718245477,1.3239309583154931e-09,88.78134662331681,82.60766712662314
66,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,220,0.7,0.999999820604238,1.8381538464854886e-09,87.3561814263241,81.18250192963043
67,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,220,0.8,0.9999997361050564,2.7110718089615275e-09,85.66858978980665,79.494910293113
68,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,220,0.9,0.9999995495397171,4.661828469661543e-09,83.31443710234137,77.1407576056477
69,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3,0.7,irls_drs,True,220,1.0,0.9999993362796531,6.889824898477766e-09,81.61791815333478,75.44423865664112
70,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,160,0.1,0.9999998902826293,2.116985990664722e-09,86.74282015951839,80.3043211587145
71,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,160,0.2,0.9999998826757176,2.271294631364811e-09,86.4372652563217,79.99876625551781
72,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,160,0.3,0.9999998761103742,2.383237389768595e-09,86.22832696247023,79.78982796166635
73,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,160,0.4,0.9999998755258549,2.3880770548503503e-09,86.21951664160585,79.78101764080196
74,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,160,0.5,0.9999998733394564,2.4295004884204356e-09,86.14483009291538,79.70633109211148
75,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,160,0.6,0.9999998712303804,2.4802944180253794e-09,86.05496764119519,79.6164686403913
76,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,160,0.7,0.9999998623062076,2.6713616907096826e-09,85.7326730642082,79.29417406340433
77,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,160,0.8,0.9999998240399939,3.4255449264689277e-09,84.65270332278419,78.2142043219803
78,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,160,0.9,0.9999997677471377,4.538606660131955e-09,83.43077453903176,76.99227553822789
79,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,160,1.0,0.9999990975389056,1.7368552965018722e-08,77.6023636264015,71.16386462559761
80,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,170,0.1,0.9999999560601865,8.642031118018863e-10,90.63384174224794,84.19534274144408
81,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,170,0.2,0.9999999496295622,9.936960731364286e-10,90.02746426410701,83.58896526330312
82,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,170,0.3,0.9999999460789056,1.0644478481767476e-09,89.72875611636547,83.29025711556159
83,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,170,0.4,0.9999999454089931,1.0677445166305502e-09,89.71532650201497,83.2768275012111
84,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,170,0.5,0.9999999422402506,1.1316414323167265e-09,89.46291160280863,83.02441260200474
85,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,170,0.6,0.9999999344942249,1.2852582343183398e-09,88.91009605039173,82.47159704958784
86,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,170,0.7,0.9999999237619615,1.4989159966413444e-09,88.24222705522226,81.80372805441837
87,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,170,0.8,0.9999999113589116,1.7513667851306784e-09,87.5662289099425,81.12772990913861
88,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,170,0.9,0.9999998680899828,2.6047907608643567e-09,85.84227157221153,79.40377257140766
89,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,170,1.0,0.9999995639438743,8.207350724857404e-09,80.85797007466763,74.41947107386375
90,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,180,0.1,0.9999999890918339,2.0687434827387336e-10,96.84293357056673,90.40443456976284
91,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,180,0.2,0.9999999891878687,2.0650227380200888e-10,96.85075161953205,90.41225261872816
92,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,180,0.3,0.9999999867330239,2.548133331492625e-10,95.93777851212458,89.4992795113207
93,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,180,0.4,0.9999999864361503,2.6280968915198463e-10,95.80358627439227,89.3650872735884
94,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,180,0.5,0.9999999849653951,2.9299084129507177e-10,95.33145955199403,88.89296055119016
95,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,180,0.6,0.9999999822846047,3.485456033326554e-10,94.57740391224446,88.13890491144058
96,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,180,0.7,0.999999975035429,4.938066107228639e-10,93.06443100347295,86.62593200266906
97,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,180,0.8,0.999999955883904,8.734715110522926e-10,90.58751255299887,84.14901355219499
98,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,180,0.9,0.9999999228273918,1.5311468498300771e-09,88.14983154819413,81.71133254739024
99,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,180,1.0,0.9999998651424701,2.6746669553643205e-09,85.7273028783051,79.28880387750121
100,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,190,0.1,0.9999999999976465,4.565337196048442e-14,133.40527139931456,126.96677239851068
101,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,190,0.2,0.9999999999953962,8.954887692652452e-14,130.47939856466783,124.04089956386395
102,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,190,0.3,0.9999999999899627,1.9586364426923145e-13,127.08046169204519,120.64196269124132
103,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,190,0.4,0.9999999999762268,4.655163882489198e-13,123.32065025314664,116.88215125234278
104,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,190,0.5,0.9999999987276452,2.4553081582922882e-11,106.09893993134841,99.66044093054452
105,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,190,0.6,0.9999999951112483,9.641742253772817e-11,100.15844482400863,93.71994582320474
106,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,190,0.7,0.9999999898712542,1.970199979827686e-10,97.05489689712638,90.61639789632251
107,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,190,0.8,0.9999999807743735,3.7849298368764344e-10,94.21942166821722,87.78092266741336
108,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,190,0.9,0.9999999662438314,6.685464537798268e-10,91.74868410512225,85.31018510431838
109,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,190,1.0,0.9999999355926177,1.266837989316242e-09,88.9727892169495,82.53429021614562
110,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,200,0.1,0.9999999977491104,4.368815869632785e-11,103.59636258903974,97.15786358823587
111,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,200,0.2,0.9999999974159682,5.04921639403739e-11,102.96776016366803,96.52926116286415
112,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,200,0.3,0.999999997212389,5.521088405661064e-11,102.5797529872413,96.14125398643742
113,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,200,0.4,0.9999999955976732,8.512640237809133e-11,100.69935720423655,94.26085820343266
114,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,200,0.5,0.9999999955585898,8.634084101653204e-11,100.63783725345489,94.19933825265102
115,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,200,0.6,0.9999999953760864,8.893668205681105e-11,100.50919076723117,94.07069176642729
116,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,200,0.7,0.9999999946425577,1.033628839291385e-10,99.85635381924085,93.41785481843698
117,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,200,0.8,0.9999999871405852,2.4765443873594487e-10,96.06153883707158,89.6230398362677
118,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,200,0.9,0.9999999734068105,5.204729675854987e-10,92.83601822029185,86.39751921948798
119,1-s20-S0929664620300449-gr3_lrg-d,0.8,irls_drs,True,200,1.0,0.9999999502421106,9.784828816396644e-10,90.09446767833742,83.65596867753354
