rec_id,phantom,zeros_pct_in_synthetic_image,Algorithm,simulate_measurements,N. angles,p,SSIM,MSE,PSNR [dB],SNR [dB]
0,000324094767_slice_5,0.8,irls_drs,True,160,0.1,0.9999999970418094,4.105567595190568e-11,103.86626793131904,99.06393086083241
1,000324094767_slice_5,0.8,irls_drs,True,160,0.2,0.9999999969436553,4.241557129642301e-11,103.72474679099354,98.92240972050689
2,000324094767_slice_5,0.8,irls_drs,True,160,0.3,0.9999999965300953,4.826036099838973e-11,103.16409433794364,98.36175726745701
3,000324094767_slice_5,0.8,irls_drs,True,160,0.4,0.9999999957253155,5.952022064041214e-11,102.2533546753718,97.45101760488517
4,000324094767_slice_5,0.8,irls_drs,True,160,0.5,0.9999999946719796,7.432022164401663e-11,101.28893003822947,96.48659296774285
5,000324094767_slice_5,0.8,irls_drs,True,160,0.6,0.999999993182637,9.559638839497472e-11,100.1955851493898,95.39324807890317
6,000324094767_slice_5,0.8,irls_drs,True,160,0.7,0.9999999908696647,1.2889249268149565e-10,98.8977237730873,94.09538670260065
7,000324094767_slice_5,0.8,irls_drs,True,160,0.8,0.9999999877802753,1.7322791876820523e-10,97.61382112377314,92.8114840532865
8,000324094767_slice_5,0.8,irls_drs,True,160,0.9,0.9999999834674108,2.3495763913601054e-10,96.29010430272089,91.48776723223426
9,000324094767_slice_5,0.8,irls_drs,True,160,1.0,0.9999999732690971,3.9035001982166243e-10,94.08545794246166,89.28312087197503
10,000324094767_slice_5,0.8,irls_drs,True,170,0.1,0.9999999991666312,1.2113508655210723e-11,109.16730046048178,104.36496338999515
11,000324094767_slice_5,0.8,irls_drs,True,170,0.2,0.999999999034872,1.4023878944755271e-11,108.53131845762786,103.72898138714122
12,000324094767_slice_5,0.8,irls_drs,True,170,0.3,0.9999999987586339,1.793492847719113e-11,107.46300350910131,102.66066643861467
13,000324094767_slice_5,0.8,irls_drs,True,170,0.4,0.999999998361914,2.368745782198508e-11,106.25481545994256,101.45247838945593
14,000324094767_slice_5,0.8,irls_drs,True,170,0.5,0.9999999977143922,3.30317531452206e-11,104.81068375715492,100.00834668666828
15,000324094767_slice_5,0.8,irls_drs,True,170,0.6,0.9999999967492439,4.6902099601697146e-11,103.28807715386809,98.48574008338146
16,000324094767_slice_5,0.8,irls_drs,True,170,0.7,0.9999999951080846,7.039519367613426e-11,101.5245699186911,96.72223284820448
17,000324094767_slice_5,0.8,irls_drs,True,170,0.8,0.9999999929361116,1.012682842888763e-10,99.94526547877669,95.14292840829008
18,000324094767_slice_5,0.8,irls_drs,True,170,0.9,0.9999999897968587,1.4582491281718293e-10,98.36168274544974,93.55934567496311
19,000324094767_slice_5,0.8,irls_drs,True,170,1.0,0.9999999849572699,2.1464268063591918e-10,96.68283916472355,91.88050209423692
20,000324094767_slice_5,0.8,irls_drs,True,180,0.1,0.9999999997185743,4.069882093407084e-12,113.90418172328688,109.10184465280027
21,000324094767_slice_5,0.8,irls_drs,True,180,0.2,0.9999999995904983,5.889108639058316e-12,112.29950433979134,107.49716726930471
22,000324094767_slice_5,0.8,irls_drs,True,180,0.3,0.9999999992912295,1.0081560916793377e-11,109.96472221355938,105.16238514307277
23,000324094767_slice_5,0.8,irls_drs,True,180,0.4,0.9999999988691132,1.5996904894262093e-11,107.95964037179837,103.15730330131176
24,000324094767_slice_5,0.8,irls_drs,True,180,0.5,0.9999999983442269,2.3272097197379446e-11,106.33164477898957,101.52930770850293
25,000324094767_slice_5,0.8,irls_drs,True,180,0.6,0.9999999974853657,3.523892257198098e-11,104.52977378585658,99.72743671536996
26,000324094767_slice_5,0.8,irls_drs,True,180,0.7,0.9999999963331637,5.138882341684117e-11,102.89131325677798,98.08897618629133
27,000324094767_slice_5,0.8,irls_drs,True,180,0.8,0.9999999947476476,7.361606264172252e-11,101.33027414527241,96.52793707478578
28,000324094767_slice_5,0.8,irls_drs,True,180,0.9,0.9999999925750598,1.0423354337362431e-10,99.81992498332046,95.01758791283385
29,000324094767_slice_5,0.8,irls_drs,True,180,1.0,0.9999999892627142,1.5123051176981744e-10,98.20360578170616,93.40126871121953
30,000324094767_slice_5,0.8,irls_drs,True,190,0.1,0.9999999997424401,3.6068174218471945e-12,114.4287584123893,109.62642134190267
31,000324094767_slice_5,0.8,irls_drs,True,190,0.2,0.9999999996756559,4.566164127629182e-12,113.40448482148759,108.60214775100096
32,000324094767_slice_5,0.8,irls_drs,True,190,0.3,0.9999999995971467,5.68556895342299e-12,112.45226069064485,107.6499236201582
33,000324094767_slice_5,0.8,irls_drs,True,190,0.4,0.9999999994654634,7.56968120854294e-12,111.20922410101775,106.40688703053112
34,000324094767_slice_5,0.8,irls_drs,True,190,0.5,0.9999999992330589,1.0893084902128597e-11,109.62849111406254,104.82615404357591
35,000324094767_slice_5,0.8,irls_drs,True,190,0.6,0.9999999988338388,1.6585076473169423e-11,107.80282521624214,103.0004881457555
36,000324094767_slice_5,0.8,irls_drs,True,190,0.7,0.9999999982267873,2.521143191283567e-11,105.98402487358747,101.18168780310084
37,000324094767_slice_5,0.8,irls_drs,True,190,0.8,0.9999999973783406,3.728030331124637e-11,104.28520562898937,99.48286855850276
38,000324094767_slice_5,0.8,irls_drs,True,190,0.9,0.9999999961428035,5.485330513014119e-11,102.60797199328337,97.80563492279676
39,000324094767_slice_5,0.8,irls_drs,True,190,1.0,0.9999999941681924,8.290760025175067e-11,100.81405655262756,96.01171948214095
40,000324094767_slice_5,0.8,irls_drs,True,200,0.1,0.9999999999523362,6.927671813857277e-13,121.59412694432801,116.79178987384137
41,000324094767_slice_5,0.8,irls_drs,True,200,0.2,0.9999999999017427,1.4305041578779427e-12,118.44510875544267,113.64277168495605
42,000324094767_slice_5,0.8,irls_drs,True,200,0.3,0.9999999998235722,2.553688732503139e-12,115.92832039725131,111.1259833267647
43,000324094767_slice_5,0.8,irls_drs,True,200,0.4,0.9999999996780619,4.62464413014455e-12,113.34921680927283,108.54687973878623
44,000324094767_slice_5,0.8,irls_drs,True,200,0.5,0.9999999994540236,7.788723332578351e-12,111.08533722693869,106.28300015645206
45,000324094767_slice_5,0.8,irls_drs,True,200,0.6,0.9999999991606808,1.1942187162004905e-11,109.2291612669058,104.42682419641919
46,000324094767_slice_5,0.8,irls_drs,True,200,0.7,0.9999999987466602,1.782409746336214e-11,107.48992451748475,102.68758744699811
47,000324094767_slice_5,0.8,irls_drs,True,200,0.8,0.9999999981289647,2.663140697634227e-11,105.74605888539648,100.94372181490984
48,000324094767_slice_5,0.8,irls_drs,True,200,0.9,0.9999999971743887,4.025626024520987e-11,103.95166572972144,99.14932865923481
49,000324094767_slice_5,0.8,irls_drs,True,200,1.0,0.999999995674146,6.166726143322798e-11,102.09945337626002,97.29711630577339
50,000324094767_slice_5,0.8,irls_drs,True,210,0.1,0.9999999999774066,3.260619295952779e-13,124.86699905676973,120.0646619862831
51,000324094767_slice_5,0.8,irls_drs,True,210,0.2,0.9999999999614756,5.548156362822911e-13,122.55851307772826,117.75617600724162
52,000324094767_slice_5,0.8,irls_drs,True,210,0.3,0.9999999999312564,9.868511561287458e-13,120.05748345756496,115.25514638707833
53,000324094767_slice_5,0.8,irls_drs,True,210,0.4,0.9999999998786151,1.741741069042367e-12,117.59016407677598,112.78782700628935
54,000324094767_slice_5,0.8,irls_drs,True,210,0.5,0.9999999997921106,2.9891730687927705e-12,115.24448939211057,110.44215232162395
55,000324094767_slice_5,0.8,irls_drs,True,210,0.6,0.999999999656525,4.947624027902178e-12,113.05603310015277,108.25369602966614
56,000324094767_slice_5,0.8,irls_drs,True,210,0.7,0.9999999994333829,8.1698011372952e-12,110.87788514584653,106.0755480753599
57,000324094767_slice_5,0.8,irls_drs,True,210,0.8,0.999999999079999,1.3246294700136105e-11,108.77905587110419,103.97671880061756
58,000324094767_slice_5,0.8,irls_drs,True,210,0.9,0.9999999985332252,2.105081939391384e-11,106.76730994777034,101.96497287728374
59,000324094767_slice_5,0.8,irls_drs,True,210,1.0,0.9999999976590482,3.349233950925176e-11,104.75054515031901,99.94820807983238
60,000324094767_slice_5,0.8,irls_drs,True,220,0.1,0.9999999999861909,2.01927640951349e-13,126.9480422840158,122.14570521352917
61,000324094767_slice_5,0.8,irls_drs,True,220,0.2,0.9999999999771702,3.3429186406356987e-13,124.75874193061317,119.95640486012654
62,000324094767_slice_5,0.8,irls_drs,True,220,0.3,0.9999999999609168,5.726748816979378e-13,122.42091865217758,117.61858158169093
63,000324094767_slice_5,0.8,irls_drs,True,220,0.4,0.9999999999316262,1.0026518983445172e-12,119.98849819590004,115.18616112541339
64,000324094767_slice_5,0.8,irls_drs,True,220,0.5,0.9999999998761475,1.8170615415565103e-12,117.4063036344277,112.60396656394107
65,000324094767_slice_5,0.8,irls_drs,True,220,0.6,0.9999999997735401,3.319398771639385e-12,114.78940571056455,109.98706864007792
66,000324094767_slice_5,0.8,irls_drs,True,220,0.7,0.9999999995967869,5.9014373545422204e-12,112.29042198676385,107.48808491627724
67,000324094767_slice_5,0.8,irls_drs,True,220,0.8,0.9999999993077093,1.0114207341878101e-11,109.95068147548389,105.14834440499726
68,000324094767_slice_5,0.8,irls_drs,True,220,0.9,0.9999999988677795,1.6500572398748655e-11,107.82500990009962,103.02267282961297
69,000324094767_slice_5,0.8,irls_drs,True,220,1.0,0.9999999981963874,2.619970413730878e-11,105.81703612964975,101.01469905916312
70,000324094767_slice_5,0.7,irls_drs,True,160,0.1,0.999972816918029,3.882834231981579e-07,64.10851150188543,59.232853756573135
71,000324094767_slice_5,0.7,irls_drs,True,160,0.2,0.9999738179878834,3.763618701896597e-07,64.24394382070064,59.368286075388326
72,000324094767_slice_5,0.7,irls_drs,True,160,0.3,0.9999757314803251,3.5330958129713275e-07,64.51844584902965,59.64278810371734
73,000324094767_slice_5,0.7,irls_drs,True,160,0.4,0.9999752085828071,3.592835098628173e-07,64.44562715274978,59.56996940743748
74,000324094767_slice_5,0.7,irls_drs,True,160,0.5,0.9999736066231234,3.8336513306694975e-07,64.16387388602472,59.28821614071241
75,000324094767_slice_5,0.7,irls_drs,True,160,0.6,0.9999751182501627,3.671843078066448e-07,64.35115887325388,59.47550112794158
76,000324094767_slice_5,0.7,irls_drs,True,160,0.7,0.9999629903507076,5.403691930574227e-07,62.67309418470401,57.79743643939171
77,000324094767_slice_5,0.7,irls_drs,True,160,0.8,0.9999611835365436,5.638612829103963e-07,62.4882772487545,57.6126195034422
78,000324094767_slice_5,0.7,irls_drs,True,160,0.9,0.9999580290576571,6.069411451546026e-07,62.16853420249021,57.292876457177904
79,000324094767_slice_5,0.7,irls_drs,True,160,1.0,0.9999442050320864,7.991326973168985e-07,60.97381099375029,56.098153248437995
80,000324094767_slice_5,0.7,irls_drs,True,170,0.1,0.9999867070886824,2.040407703657656e-07,66.90283045438001,62.027172709067706
81,000324094767_slice_5,0.7,irls_drs,True,170,0.2,0.9999866215403264,2.0536038613547337e-07,66.87483327739672,61.99917553208443
82,000324094767_slice_5,0.7,irls_drs,True,170,0.3,0.9999994159021363,7.990123739671035e-09,80.97446494898749,76.0988072036752
83,000324094767_slice_5,0.7,irls_drs,True,170,0.4,0.9999912927756781,1.3119806530556952e-07,68.82072569177664,63.945067946464334
84,000324094767_slice_5,0.7,irls_drs,True,170,0.5,0.9999993940195355,8.277728263092865e-09,80.82088834491955,75.94523059960724
85,000324094767_slice_5,0.7,irls_drs,True,170,0.6,0.9999834306825253,2.5559422908577835e-07,65.92448956086781,61.048831815555516
86,000324094767_slice_5,0.7,irls_drs,True,170,0.7,0.9999758879395079,3.571333637616188e-07,64.47169575680294,59.59603801149065
87,000324094767_slice_5,0.7,irls_drs,True,170,0.8,0.9999740701625799,3.7863383352118877e-07,64.21780581457683,59.34214806926454
88,000324094767_slice_5,0.7,irls_drs,True,170,0.9,0.9999681135550673,4.553809685102388e-07,63.41625123575281,58.540593490440514
89,000324094767_slice_5,0.7,irls_drs,True,170,1.0,0.999959854716339,5.689181423586446e-07,62.44950216696955,57.57384442165724
90,000324094767_slice_5,0.7,irls_drs,True,180,0.1,0.9999996047721041,5.441867717655845e-09,82.64252019371837,77.76686244840606
91,000324094767_slice_5,0.7,irls_drs,True,180,0.2,0.9999996122501179,5.325345499994716e-09,82.7365221063596,77.8608643610473
92,000324094767_slice_5,0.7,irls_drs,True,180,0.3,0.9999996091141088,5.36865245571666e-09,82.70134709549497,77.82568935018266
93,000324094767_slice_5,0.7,irls_drs,True,180,0.4,0.9999996121620446,5.320172596430556e-09,82.74074278144522,77.86508503613291
94,000324094767_slice_5,0.7,irls_drs,True,180,0.5,0.999999612281634,5.323208283371887e-09,82.73826540675,77.8626076614377
95,000324094767_slice_5,0.7,irls_drs,True,180,0.6,0.9999996066738329,5.41114121056934e-09,82.667111324561,77.7914535792487
96,000324094767_slice_5,0.7,irls_drs,True,180,0.7,0.9999995922727096,5.602286394954759e-09,82.5163469334015,77.6406891880892
97,000324094767_slice_5,0.7,irls_drs,True,180,0.8,0.9999995581862628,6.055387079866594e-09,82.17858090130005,77.30292315598776
98,000324094767_slice_5,0.7,irls_drs,True,180,0.9,0.9999928814848473,1.0936969641339284e-07,69.61102993391285,64.73537218860055
99,000324094767_slice_5,0.7,irls_drs,True,180,1.0,0.9999834045310281,2.4251045004142776e-07,66.1526954243267,61.2770376790144
100,000324094767_slice_5,0.7,irls_drs,True,190,0.1,0.9999998486346432,2.0927535732588656e-09,86.79281907865162,81.91716133333932
101,000324094767_slice_5,0.7,irls_drs,True,190,0.2,0.9999998480966387,2.1020168373099348e-09,86.77363809563005,81.89798035031777
102,000324094767_slice_5,0.7,irls_drs,True,190,0.3,0.9999998480954237,2.100085864512618e-09,86.77762948255759,81.90197173724528
103,000324094767_slice_5,0.7,irls_drs,True,190,0.4,0.9999998535807706,2.0283036657888435e-09,86.92867024435465,82.05301249904235
104,000324094767_slice_5,0.7,irls_drs,True,190,0.5,0.9999998547924933,2.007650316819347e-09,86.97311928330112,82.09746153798883
105,000324094767_slice_5,0.7,irls_drs,True,190,0.6,0.9999998426416759,2.172860001938246e-09,86.62968254509823,81.75402479978594
106,000324094767_slice_5,0.7,irls_drs,True,190,0.7,0.9999998285963079,2.3657750016242053e-09,86.26026561567573,81.38460787036344
107,000324094767_slice_5,0.7,irls_drs,True,190,0.8,0.9999997835402987,2.979500234881774e-09,85.25856576002626,80.38290801471396
108,000324094767_slice_5,0.7,irls_drs,True,190,0.9,0.999999728043985,3.735807390596498e-09,84.27615523062245,79.40049748531015
109,000324094767_slice_5,0.7,irls_drs,True,190,1.0,0.999996029136905,5.7025562997499744e-08,72.43930418361695,67.56364643830464
110,000324094767_slice_5,0.7,irls_drs,True,200,0.1,0.9999999103640386,1.2364073490081656e-09,89.07838422223898,84.20272647692668
111,000324094767_slice_5,0.7,irls_drs,True,200,0.2,0.9999999099406638,1.2436745356411274e-09,89.05293257803164,84.17727483271933
112,000324094767_slice_5,0.7,irls_drs,True,200,0.3,0.9999999126028782,1.2156716988138552e-09,89.15183693685097,84.27617919153867
113,000324094767_slice_5,0.7,irls_drs,True,200,0.4,0.9999999107823139,1.2383442800131351e-09,89.07158597542352,84.19592823011122
114,000324094767_slice_5,0.7,irls_drs,True,200,0.5,0.999999907698856,1.283707459802616e-09,88.91533935043427,84.03968160512196
115,000324094767_slice_5,0.7,irls_drs,True,200,0.6,0.9999999029756282,1.346119505630842e-09,88.70916382658736,83.83350608127508
116,000324094767_slice_5,0.7,irls_drs,True,200,0.7,0.9999998876151626,1.555497028949359e-09,88.08130814071274,83.20565039540043
117,000324094767_slice_5,0.7,irls_drs,True,200,0.8,0.9999998616908322,1.9108425397193018e-09,87.18775098893965,82.31209324362736
118,000324094767_slice_5,0.7,irls_drs,True,200,0.9,0.999999820292303,2.4836923502855825e-09,86.04902200302227,81.17336425770999
119,000324094767_slice_5,0.7,irls_drs,True,200,1.0,0.9999994965182624,7.295697530157637e-09,81.36933179573619,76.49367405042389
120,000324094767_slice_5,0.7,irls_drs,True,210,0.1,0.9999999749114145,3.562751447216569e-10,94.48214474833262,89.6064870030203
121,000324094767_slice_5,0.7,irls_drs,True,210,0.2,0.9999999750131927,3.5393998032835765e-10,94.51070377584877,89.63504603053647
